SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM
100016,USA,27536,MARIA PARHAM MEDICAL CENTER,NC,HENDERSON,PO BOX 59,,,VANCE,(252) 431-3708,Acute Care Hospitals,Proprietary,83477
100017,USA,28675,ALLEGHANY COUNTY MEMORIAL HOSPITAL,NC,SPARTA,617 DOCTOR,S STREET,,ALLEGHANY,(336) 372-5511,Critical Access Hospitals,Voluntary non-profit - Private,81317
100018,USA,28719,CHEROKEE INDIAN HOSPITAL AUTHORITY,NC,CHEROKEE,CALLER BOX,C268,,SWAIN,(704) 497-9163,Acute Care Hospitals,Government - Federal,84159
100019,USA,29212,PRISMA HEALTH BAPTIST PARKRIDGE,SC,COLUMBIA,400 PALMET,TO HEALTH,PARKWAY,LEXINGTON,(803) 907-7011,Acute Care Hospitals,Voluntary non-profit - Private,12350
100020,USA,29801,AIKEN REGIONAL MEDICAL CENTER,SC,AIKEN,302 UNIVER,SITY PARKW,AY,AIKEN,(803) 641-5900,Acute Care Hospitals,Proprietary,17647
100021,USA,32130,SUNCOAST HEALTH CENTER,FL,BRANDENTON,4480 51,WEST STREET,,MANTEE,(941) 792-2222,Psychiatric,Proprietary,75960
100022,USA,32237,HOSPITAL OF DOUGLAS GARDENS,FL,"MIAMI, FLORIDA",5200 NE 2N,D AVE,,MIAMI,(305) 751-8626,Acute Care Hospitals,Voluntary non-profit - Private,85882
100023,USA,32821,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,FL,ORLANDO,6601 CENTR,AL FLORIDA,PARKWAY,ORANGE,(407) 370-0111,Psychiatric,Proprietary,25482
100024,USA,33137,DOUGLAS GARDENS HOSPITAL,FL,MIAMI,5200 NE 2N,D AVE,,MIAMI-DADE,(305) 751-8626,Acute Care Hospitals,Voluntary non-profit - Private,87991
100025,USA,33853,ADVENTHEALTH LAKE WALES,FL,LAKE WALES,410 S 11TH,ST,,POLK,(863) 676-1433,Acute Care Hospitals,Proprietary,82422
100026,USA,34210,SUNCOAST BEHAVIORAL HEALTH CENTER,FL,BRADENTON,4480 51ST,ST W,,MANATEE,(941) 792-2222,Psychiatric,Proprietary,22662
100027,USA,34210,SUNCOAST PSYCHIATRIC CENTER,FL,BRADENTON,4480 51ST,STREET WEST,,MANATEE,(941) 792-2222,Psychiatric,Proprietary,63051
100028,USA,34210,SUNCOAST PSYCHIATRIC CENTER,FL,BRADENTON,4480 51ST,STREET WEST,,MANATEE,(941) 792-2222,Psychiatric,Proprietary,94444
100029,USA,36925,HILL HOSPITAL OF SUMTER COUNTY,AL,YORK,751 DERBY,DRIVE,,SUMTER,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other,52770
100030,USA,39530,81st Medical Group (Keesler AFB),MS,Biloxi,81 MDG 301,Fisher St,. Suite 109,HARRISON,(228) 377-6393,Acute Care - Department of Defense,Department of Defense,45484
100031,USA,39735,CHOCTAW REGIONAL MEDICAL CENTER,MS,ACKERMAN,8613 MS HW,Y 12,,CHOCTAW,(662) 285-4400,Critical Access Hospitals,Government - Local,93392
100032,USA,39735,CHOCTAW REGIONAL MEDICAL CENTER,MS,ACKERMAN,8613 MS HW,Y 12,,CHOCTAW,(662) 285-4400,Critical Access Hospitals,Government - Local,29193
100033,USA,41701,HAZARD ARH REGIONAL MEDICAL CENTER,KY,HAZARD,100 MEDICA,L CENTER D,RIVE,PERRY,(606) 439-6600,Acute Care Hospitals,Voluntary non-profit - Private,19109
100034,USA,44308,AKRON CHILDREN'S HOSPITAL,OH,AKRON,1 PERKINS,SQUARE,,SUMMIT,(330) 543-1000,Childrens,Voluntary non-profit - Private,39211
100035,USA,46947,FOUR COUNTY COUNSELING CENTER,IN,LOGANSPORT,1015 MICHI,GAN AVE,,CASS,(574) 722-5151,Psychiatric,Voluntary non-profit - Private,88102
100036,USA,47025,HIGHPOINT HEALTH,IN,LAWRENCEBURG,600 WILSON,CREEK RD,,DEARBORN,(812) 537-1010,Acute Care Hospitals,Government - Local,40531
100037,USA,50126,HANSEN FAMILY HOSPITAL,IA,IOWA FALLS,920 SOUTH,OAK STREET,,HARDIN,(641) 648-4631,Critical Access Hospitals,Government - Local,88959
100038,USA,52537,DAVIS COUNTY HOSPITAL,IA,BLOOMFIELD,509 NORTH,MADISON ST,REET,DAVIS,(641) 664-2145,Critical Access Hospitals,Government - Local,44961
100039,USA,55102,ST JOSEPH'S HOSPITAL,MN,SAINT PAUL,45 WEST 10,TH STREET,,RAMSEY,(651) 232-3000,Acute Care Hospitals,Voluntary non-profit - Private,24483
100040,USA,59230,FRANCES MAHON DEACONESS HOSPITAL,MT,GLASGOW,621 3RD ST,S,,VALLEY,(406) 228-3500,Critical Access Hospitals,Voluntary non-profit - Private,52262
100041,USA,60629,HOLY CROSS HOSPITAL,IL,CHICAGO,2701 W 68T,H STREET,,COOK,(773) 884-9000,Acute Care Hospitals,Voluntary non-profit - Private,90454
100042,USA,60970,IROQUOIS MEMORIAL HOSPITAL,IL,WATSEKA,200 FAIRMA,N STREET,,IROQUOIS,(815) 432-5201,Acute Care Hospitals,Voluntary non-profit - Private,15601
100043,USA,62906,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,IL,ANNA,1000 N MAI,N ST,,UNION,(618) 833-5161,Psychiatric,Government - State,50857
100044,USA,62906,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,IL,ANNA,1000 N MAI,N ST,,UNION,(618) 833-5161,Psychiatric,Government - State,32264
100045,USA,62930,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,IL,ELDORADO,1201 PINE,STREET,,SALINE,(618) 273-3361,Critical Access Hospitals,Voluntary non-profit - Private,23953
100046,USA,63110,ST LOUIS CHILDRENS HOSPITAL,MO,SAINT LOUIS,ONE CHILDR,ENS PLACE,,ST. LOUIS CITY,(314) 454-6000,Childrens,Voluntary non-profit - Other,21955
100047,USA,63110,ST LOUIS CHILDRENS HOSPITAL,MO,SAINT LOUIS,ONE CHILDR,ENS PLACE,,ST. LOUIS CITY,(314) 454-6000,Childrens,Voluntary non-profit - Other,63909
100048,USA,67735,GOODLAND REGIONAL MEDICAL CENTER,KS,GOODLAND,220 WEST S,ECOND STRE,ET,SHERMAN,(785) 890-3625,Critical Access Hospitals,Government - Local,28392
100049,USA,67735,GOODLAND REGIONAL MEDICAL CENTER,KS,GOODLAND,220 WEST S,ECOND STRE,ET,SHERMAN,(785) 890-3625,Critical Access Hospitals,Government - Local,74101
100050,USA,70508,COMPASS BEHAVIORAL CENTER OF LAFAYETTE,LA,LAFAYETTE,312 YOUNGS,VILLE HIGH,WAY,LAFAYETTE,(337) 534-4655,Psychiatric,Proprietary,79020
100051,USA,72301,WOODRIDGE BEHAVIORAL CENTER,AR,WEST MEMPHIS,600 NORTH,7TH STREET,,CRITTENDEN,(870) 394-4113,Psychiatric,Proprietary,70116
100052,USA,72501,WOODRIDGE PSYCHOTHERAPY CNTR,AR,W MEMPHIS,600 N,7TH ST.,,CRITTENDEN,(870) 394-4113,Psychiatric,Proprietary,86720
100053,USA,73573,JEFFERSON COUNTY HOSPITAL,OK,WAURIKA,INTERSECTI,ON HYWS 81,& 70,JEFFERSON,(580) 228-2344,Critical Access Hospitals,Voluntary non-profit - Private,59571
100054,USA,77338,MEMORIAL HERMANN NORTHEAST HOSPITAL,TX,HUMBLE,18951 MEMO,RIAL NORTH,,HARRIS,(281) 540-7700,Acute Care Hospitals,Voluntary non-profit - Private,15859
100055,USA,79714,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,TX,ANDREWS,720 HOSPIT,AL DRIVE,,ANDREWS,(432) 523-2200,Acute Care Hospitals,Government - Hospital District or Authority,59514
100056,USA,83704,INTERMOUNTAIN HOSPITAL,ID,BOISE,303 NORTH,ALLUMBAUGH,STREET,ADA,(208) 377-8400,Psychiatric,Proprietary,85487
100057,USA,83704,INTERMOUNTAIN HOSPITAL,ID,BOISE,303 NORTH,ALLUMBAUGH,STREET,ADA,(208) 377-8400,Psychiatric,Proprietary,42053
100058,USA,83704,TREASURE VALLEY HOSPITAL,ID,BOISE,8800 WEST,EMERALD ST,REET,ADA,(208) 373-5000,Acute Care Hospitals,Proprietary,63165
100059,USA,86505,SAGE MEMORIAL HOSPITAL,AZ,GANADO,STATE ROUT,E 264 SOUT,H 191,APACHE,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,71730
100060,USA,86505,THE SAGE MEMORIAL HSP,AZ,GANADO,STATE RT.,264 SOUT,H 191,APACHE,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,27999
100061,USA,88415,UNION COUNTY GENERAL HOSPITAL,NM,CLAYTON,300 WILSON,STREET,,UNION,(575) 374-7001,Critical Access Hospitals,Voluntary non-profit - Other,24708
100062,USA,90806,MEMORIAL CARE MILLER CHILDREN'S & WOMEN'S HOSP LB,CA,LONG BEACH,2801 ATLAN,TIC AVENUE,,LOS ANGELES,(562) 933-8001,Childrens,Voluntary non-profit - Other,28485
100063,USA,97836,PIONEER MEMORIAL HOSPITAL,OR,HEPPNER,564 E PION,EER DRIVE,,MORROW,(541) 676-9133,Critical Access Hospitals,Government - Hospital District or Authority,45769
100064,USA,98271,SMOKEY POINT BEHAVIORAL HOSPITAL,WA,MARYSVILLE,3955 156TH,ST NE,,SNOHOMISH,(212) 243-5565,Psychiatric,Proprietary,50969
100065,USA,98277,NH Oak Harbor,WA,Oak Harbor,3475 North,Saratoga,Street,ISLAND,(360) 257-9500,Acute Care - Department of Defense,Department of Defense,64163
