SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM
100028,United States of America,738,HIMA-SAN PABLO FAJARDO,PR,FAJARDO,GENERAL VA,ALERO AVE#404,404,FAJARDO,(787) 655-0505,Acute Care Hospitals,Proprietary,84336
100029,United States of America,739,FIRST HOSPITAL PANAMERICANO,PR,CIDRA,STATE ROAD,D 787 KM 1  5,  5,CIDRA,(787) 739-5555,Psychiatric,Proprietary,28923
100030,United States of America,780,HOSPITAL SAN CRISTOBAL,PR,COTO LAUREL,CARR 506 K,KM 1 0,,PONCE,(787) 848-2100,Acute Care Hospitals,Voluntary non-profit - Private,79987
100031,United States of America,785,HOSPITAL MENONITA GUAYAMA,PR,GUAYAMA,AVE. PEDRO,O ALBIZU CAMPOS URB.,AMPOS URB. LA HACIENDA,GUAYANILLA,(787) 864-4300,Acute Care Hospitals,Voluntary non-profit - Church,75731
100032,United States of America,791,HIMA SAN PABLO HUMACAO,PR,HUMACAO,CALLE FONT,T MARTELO #3,#3,HUMACAO,(787) 852-2424,Acute Care Hospitals,Proprietary,43865
100033,United States of America,791,RYDER MEMORIAL HOSPITAL INC,PR,HUMACAO,355 AVE FO,ONT MARTELO,O,HUMACAO,(787) 852-0768,Acute Care Hospitals,Voluntary non-profit - Private,55895
100034,United States of America,792,HOSPITAL ORIENTE,PR,HUMACAO,300 FONT M,MARTELLO STREET,TREET,HUMACAO,(787) 852-0505,Acute Care Hospitals,Proprietary,52012
100035,United States of America,801,"ROY LESTER SCHNEIDER HOSPITAL,THE",VI,ST THOMAS,9048 SUGAR,R ESTATE,,SAINT THOMAS ISLAND,(809) 776-8311,Acute Care Hospitals,Government - Local,30717
100036,United States of America,820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,VI,ST CROIX,#4007 EST ," DIAMOND RUBY, CHRIS","UBY, CHRISTIANSTED",SAINT CROIX ISLAND,(340) 778-6311,Acute Care Hospitals,Government - State,86124
100037,United States of America,907,PRESBYTERIAN COMMUNITY HOSP,PR,SAN JUAN,1451 ASHFO,ORD AVENUE,,SAN JUAN,(787) 721-2160,Acute Care Hospitals,Voluntary non-profit - Other,12028
100038,United States of America,909,DOCTORS' CENTER HOSPITAL SAN JUAN,PR,FERNANDEZ JUNCOS,PDA. 20 C/,/ SAN RAFAEL # 1395,EL # 1395,SAN JUAN,(787) 723-2950,Acute Care Hospitals,Proprietary,72199
100039,United States of America,910,HOSPITAL PAVIA SANTURCE,PR,FERNANDEZ JUNCOS,CALLE PROF,FESOR AUGUSTO RODRIG,STO RODRIGUEZ #1462,SAN JUAN,(787) 641-1616,Acute Care Hospitals,Voluntary non-profit - Private,55375
100040,United States of America,912,SAN JORGE CHILDRENS HOSPITAL INC,PR,SAN JUAN,258 SAN JO,ORGE STREET,T,SAN JUAN,(787) 727-1000,Acute Care Hospitals,Proprietary,20128
100041,United States of America,915,METROPOLITAN HOSPITAL,PR,SAN JUAN,CARRETERA , 21 1785 URB LAS LOM,RB LAS LOMAS,SAN JUAN,(787) 782-9999,Acute Care Hospitals,Proprietary,77379
100042,United States of America,918,AUXILIO MUTUO HOSPITAL,PR,HATO REY,PONCE DE L,LEON AVENUE STOP 37 ,E STOP 37 1/2,SAN JUAN,(787) 758-2000,Acute Care Hospitals,Voluntary non-profit - Private,47429
100043,United States of America,919,"HOSPITAL PAVIA HATO REY, INC",PR,HATO REY,AVE PONCE , DE LEON 435,35,SAN JUAN,(787) 754-0909,Acute Care Hospitals,Voluntary non-profit - Private,62520
100044,United States of America,923,HOSPITAL SAN FRANCISCO,PR,SAN JUAN,371 DE DIE,EGO AVE,,SAN JUAN,(787) 767-5100,Acute Care Hospitals,Proprietary,64340
100045,United States of America,927,HOSPITAL UNIVERSITARIO DE ADULTO,PR,RIO PIEDRAS,BARRIO MON,NACILLOS CENTROMEDIC,ENTROMEDICO,SAN JUAN,(787) 754-0101,Acute Care Hospitals,Government - State,65504
100046,United States of America,928,HIMA SAN PABLO CUPEY,PR,SAN JUAN,CARR 844 K,KM 5 CUPEY BAJO, BAJO,SAN JUAN,(787) 761-8383,Acute Care Hospitals,Proprietary,80290
100047,United States of America,928,SAN JUAN CAPESTRANO  HOSPITAL INC,PR,RIO PIEDRAS,CARR 877 K,KM 1 6 CAMINO LAS LO,INO LAS LOMAS RR2,SAN JUAN,(787) 765-2900,Psychiatric,Proprietary,39517
100048,United States of America,935,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,PR,SAN JUAN,BO MONACIL,LLO CARR NUM 22,UM 22,SAN JUAN,(787) 777-3535,Acute Care Hospitals,Government - Local,94685
100049,United States of America,935,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,PR,SAN JUAN,BO. MONACI,ILLOS CARR 22 CENTRO, 22 CENTRO MEDICO DE PUERTO RIC,SAN JUAN,(787) 763-4149,Acute Care Hospitals,Voluntary non-profit - Private,80507
100050,United States of America,935,UNIVERSITY PEDIATRIC HOSPITAL,PR,SAN JUAN,PUERTO RIC,CO MEDICAL CENTER IN, CENTER IN RIO PIEDRAS,SAN JUAN,(787) 777-3232,Childrens,Government - State,22501
100051,United States of America,936,"ASOCIACION HOSPITAL DEL MAESTRO, INC",PR,SAN JUAN,SERGIO CUE,EVAS BUSTAMANTE STRE,MANTE STREET 550,SAN JUAN,(787) 758-6420,Acute Care Hospitals,Voluntary non-profit - Other,53737
100052,United States of America,936,CENTRO CARDIOVASCULAR,PR,RIO PIEDRAS,AVENIDA AM,"MERICO MIRANDA, ENTR","ANDA, ENTRADA PRINCIPAL CM",SAN JUAN,(787) 754-8500,Acute Care Hospitals,Government - State,16064
100053,United States of America,936,SAN JUAN MUNICIPAL HOSPITAL,PR,RIO PIEDRAS,BARRIO MON,"NACILLOS,CENTRO MEDI",ENTRO MEDICO,SAN JUAN,(787) 756-8535,Acute Care Hospitals,Voluntary non-profit - Other,35293
100054,United States of America,956,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,PR,BAYAMON,LAUREL AVE,E SANTA JUANITA #100,ANITA #100,BAYAMON,(787) 787-5151,Acute Care Hospitals,Government - State,64765
100055,United States of America,959,DOCTORS CENTER HOSPITAL BAYAMON,PR,BAYAMON,9 J STREET,T EXT HERMANAS DAVIL,ANAS DAVILA,BAYAMON,(787) 622-5420,Acute Care Hospitals,Proprietary,87627
100056,United States of America,960,HOSPITAL HERMANOS MELENDEZ INC,PR,BAYAMON,CARRETERA , #2 KM 11 7,7,BAYAMON,(787) 620-8181,Acute Care Hospitals,Proprietary,32153
100057,United States of America,961,HIMA SAN PABLO BAYAMON,PR,BAYAMON,70 CALLE S,SANTA CRUZ,,BAYAMON,(787) 620-4747,Acute Care Hospitals,Proprietary,60995
100058,United States of America,969,PROFESSIONAL HOSPITAL GUAYNABO INC,PR,ALT DE SANTA,AVE LAS CU,UMBRES ST 199KM 1 2,199KM 1 2,GUAYNABO,(787) 708-6560,Acute Care Hospitals,Proprietary,20847
100059,United States of America,979,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,PR,CAROLINA,EDIF JESUS,S T PINEIRO AVE FERN,O AVE FERNANDEZ JUNCOS BO PUEBL,SAN JUAN,(787) 725-6038,Acute Care Hospitals,Government - State,14037
100060,United States of America,984,"HOSPITAL UPR, DR  FEDERICO TRILLA",PR,CAROLINA,CARR 3 KM , 8  3 AVE 65TH INFAN,65TH INFANTERIA       BOX 6021,CAROLINA,(787) 757-1800,Acute Care Hospitals,Proprietary,77166
100061,United States of America,1040,HOLYOKE MEDICAL CENTER,MA,HOLYOKE,575 BEECH , STREET,,HAMPDEN,(413) 534-2500,Acute Care Hospitals,Voluntary non-profit - Private,34134
100062,United States of America,1060,"COOLEY DICKINSON HOSPITAL INC,THE",MA,NORTHAMPTON,30 LOCUST , STREET,,HAMPSHIRE,(413) 582-2000,Acute Care Hospitals,Voluntary non-profit - Private,61313
100063,United States of America,1069,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,MA,PALMER,40 WRIGHT , STREET,,HAMPDEN,(413) 283-7651,Acute Care Hospitals,Voluntary non-profit - Other,26891
100064,United States of America,1085,BAYSTATE NOBLE HOSPITAL,MA,WESTFIELD,115 WEST S,SILVER STREET,EET,HAMPDEN,(413) 568-2811,Acute Care Hospitals,Voluntary non-profit - Private,29291
100065,United States of America,1104,MERCY MEDICAL CTR,MA,SPRINGFIELD,271 CAREW , STREET,,HAMPDEN,(413) 748-9000,Acute Care Hospitals,Voluntary non-profit - Private,31829
100066,United States of America,1104,SHRINERS' HOSPITAL FOR CHILDREN (THE),MA,SPRINGFIELD,516 CAREW , STREET,,HAMPDEN,(413) 787-2000,Childrens,Voluntary non-profit - Private,70426
100067,United States of America,1199,BAYSTATE MEDICAL CENTER,MA,SPRINGFIELD,759 CHESTN,NUT STREET,,HAMPDEN,(413) 794-0000,Acute Care Hospitals,Voluntary non-profit - Private,91735
100068,United States of America,1201,BERKSHIRE MEDICAL CENTER INC - 1,MA,PITTSFIELD,725 NORTH , STREET,,BERKSHIRE,(413) 447-2000,Acute Care Hospitals,Voluntary non-profit - Other,21866
100069,United States of America,1230,FAIRVIEW HOSPITAL,MA,GREAT BARRINGTON,29 LEWIS A,AVENUE,,BERKSHIRE,(413) 528-0790,Critical Access Hospitals,Voluntary non-profit - Private,80033
100070,United States of America,1301,BAYSTATE FRANKLIN MEDICAL CENTER,MA,GREENFIELD,164 HIGH S,STREET,,FRANKLIN,(413) 773-0211,Acute Care Hospitals,Voluntary non-profit - Private,80871
100071,United States of America,1331,ATHOL MEMORIAL HOSPITAL,MA,ATHOL,2033 MAIN , STREET,,WORCESTER,(978) 249-3511,Critical Access Hospitals,Voluntary non-profit - Private,46216
100072,United States of America,1432,NASHOBA VALLEY MEDICAL CENTER,MA,AYER,200 GROTON,N ROAD,,MIDDLESEX,(978) 784-9000,Acute Care Hospitals,Proprietary,32965
100073,United States of America,1434,TARAVISTA BEHAVIORAL HEALTH CENTER,MA,DEVENS,85 PATTON , ROAD,,WORCESTER,(978) 615-5200,Psychiatric,Proprietary,12197
100074,United States of America,1440,HEYWOOD HOSPITAL -,MA,GARDNER,242 GREEN , STREET,,WORCESTER,(978) 632-3420,Acute Care Hospitals,Voluntary non-profit - Private,51565
100075,United States of America,1453,HEALTH ALLIANCE - CLINTON HOSPITAL,MA,LEOMINSTER,60 HOSPITA,AL ROAD,,WORCESTER,(978) 466-2000,Acute Care Hospitals,Voluntary non-profit - Other,89193
100076,United States of America,1550,HARRINGTON MEMORIAL HOSPITAL-1,MA,SOUTHBRIDGE,100 SOUTH , STREET,,WORCESTER,(508) 765-9771,Acute Care Hospitals,Voluntary non-profit - Private,83557
100077,United States of America,1604,WORCESTER RECOVERY CENTER AND HOSPITAL,MA,WORCESTER,309 BELMON,NT STREET,,WORCESTER,(508) 752-4681,Psychiatric,Government - State,77603
100078,United States of America,1605,ADCARE HOSPITAL OF WORCESTER INC,MA,WORCESTER,107 LINCOL,LN STREET,,WORCESTER,(508) 799-9000,Acute Care Hospitals,Proprietary,68927
100079,United States of America,1608,ST VINCENT HOSPITAL,MA,WORCESTER,123 SUMMER,R STREET,,WORCESTER,(508) 363-5000,Acute Care Hospitals,Proprietary,75381
100080,United States of America,1655,UMASS MEMORIAL MEDICAL CENTER INC,MA,WORCESTER,55 LAKE AV,VENUE NORTH,H,WORCESTER,(508) 334-1000,Acute Care Hospitals,Voluntary non-profit - Private,31312
100081,United States of America,1701,METROWEST MEDICAL CENTER,MA,FRAMINGHAM,115 LINCOL,LN STREET,,MIDDLESEX,(508) 383-1000,Acute Care Hospitals,Voluntary non-profit - Private,83970
100082,United States of America,1742,EMERSON HOSPITAL -,MA,W CONCORD,133 OLD RO,OAD TO 9 ACRE CORNER,CRE CORNER,MIDDLESEX,(978) 369-1400,Acute Care Hospitals,Voluntary non-profit - Private,26153
100083,United States of America,1752,MARLBOROUGH HOSPITAL,MA,MARLBOROUGH,157 UNION , STREET,,MIDDLESEX,(508) 481-5000,Acute Care Hospitals,Voluntary non-profit - Private,49181
100084,United States of America,1757,MILFORD REGIONAL MEDICAL CENTER,MA,MILFORD,14 PROSPEC,CT STREET,,WORCESTER,(508) 473-1190,Acute Care Hospitals,Voluntary non-profit - Other,20008
100085,United States of America,1803,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",MA,BURLINGTON,41 & 45 MA,ALL ROAD,,MIDDLESEX,(781) 744-5100,Acute Care Hospitals,Voluntary non-profit - Private,91894
100086,United States of America,1830,WHITTIER PAVILION,MA,HAVERHILL,76 SUMMER , STREET,,ESSEX,(978) 373-8222,Psychiatric,Proprietary,12299
100087,United States of America,1842,LAWRENCE GENERAL HOSPITAL,MA,LAWRENCE,ONE GENERA,AL STREET,,ESSEX,(978) 683-4000,Acute Care Hospitals,Voluntary non-profit - Private,84711
100088,United States of America,1844,HOLY FAMILY HOSPITAL,MA,METHUEN,70 EAST ST,TREET,,ESSEX,(978) 687-0156,Acute Care Hospitals,Proprietary,86323
100089,United States of America,1854,LOWELL GENERAL HOSPITAL,MA,LOWELL,295 VARNUM,M AVENUE,,MIDDLESEX,(978) 937-6000,Acute Care Hospitals,Voluntary non-profit - Private,46108
100090,United States of America,1890,WINCHESTER HOSPITAL,MA,WINCHESTER,41 HIGHLAN,ND AVENUE,,MIDDLESEX,(781) 729-9000,Acute Care Hospitals,Voluntary non-profit - Private,17350
100091,United States of America,1915,BEVERLY HOSPITAL CORPORATION,MA,BEVERLY,85 HERRICK,K STREET,,ESSEX,(978) 922-3000,Acute Care Hospitals,Voluntary non-profit - Private,73866
100092,United States of America,1950,ANNA JAQUES HOSPITAL,MA,NEWBURYPORT,25 HIGHLAN,ND AVENUE,,ESSEX,(978) 463-1000,Acute Care Hospitals,Voluntary non-profit - Private,68040
100093,United States of America,1970,NORTH SHORE MEDICAL CENTER -,MA,SALEM,81 HIGHLAN,ND AVENUE,,ESSEX,(978) 741-1215,Acute Care Hospitals,Voluntary non-profit - Private,56290
100094,United States of America,2062,NORWOOD HOSPITAL,MA,NORWOOD,800 WASHIN,NGTON STREET,ET,NORFOLK,(781) 769-4000,Acute Care Hospitals,Proprietary,41787
100095,United States of America,2090,WESTWOOD PEMBROKE HEALTH SYSTEMS,MA,WESTWOOD,45 CLAPBOA,ARDTREE STREET,REET,NORFOLK,(617) 762-7764,Psychiatric,Proprietary,75909
100096,United States of America,2111,TUFTS MEDICAL CENTER,MA,BOSTON,800 WASHIN,NGTON STREET,ET,SUFFOLK,(617) 636-5000,Acute Care Hospitals,Voluntary non-profit - Private,52938
100097,United States of America,2114,MASSACHUSETTS EYE AND EAR INFIRMARY -,MA,BOSTON,243 CHARLE,ES STREET,,SUFFOLK,(617) 523-7900,Acute Care Hospitals,Voluntary non-profit - Private,35652
100098,United States of America,2114,MASSACHUSETTS GENERAL HOSPITAL,MA,BOSTON,55 FRUIT S,STREET,,SUFFOLK,(617) 726-2000,Acute Care Hospitals,Voluntary non-profit - Private,22007
100099,United States of America,2114,"SHRINERS' HOSPITAL FOR CHILDREN - BOSTON, THE",MA,BOSTON,51 BLOSSOM,M STREET,,SUFFOLK,(617) 722-3000,Childrens,Proprietary,63942
100100,United States of America,2115,BOSTON CHILDREN'S HOSPITAL,MA,BOSTON,300 LONGWO,OOD AVENUE,,SUFFOLK,(617) 735-6000,Childrens,Voluntary non-profit - Private,67782
100101,United States of America,2115,BRIGHAM AND WOMEN'S HOSPITAL,MA,BOSTON,75 FRANCIS,S STREET,,SUFFOLK,(617) 732-5500,Acute Care Hospitals,Voluntary non-profit - Private,46895
100102,United States of America,2118,BOSTON MEDICAL CENTER CORPORATION-,MA,BOSTON,1 BOSTON M,MEDICAL CENTER PLACE,NTER PLACE,SUFFOLK,(617) 638-8000,Acute Care Hospitals,Voluntary non-profit - Private,83132
100103,United States of America,2118,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,MA,BOSTON,85 EAST NE,EWTON STREET,ET,SUFFOLK,(617) 626-8700,Psychiatric,Government - State,68801
100104,United States of America,2120,NEW ENGLAND BAPTIST HOSPITAL,MA,BOSTON,125 PARKER,R HILL AVENUE,NUE,SUFFOLK,(617) 754-5800,Acute Care Hospitals,Voluntary non-profit - Private,28603
100105,United States of America,2124,CARNEY HOSPITAL,MA,BOSTON,2100 DORCH,HESTER AVENUE,NUE,SUFFOLK,(617) 506-2000,Acute Care Hospitals,Proprietary,38347
100106,United States of America,2130,"ARBOUR HOSPITAL, THE",MA,BOSTON,49 ROBINWO,OOD AVENUE,,SUFFOLK,(617) 522-4400,Psychiatric,Proprietary,16127
100107,United States of America,2130,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,MA,BOSTON,1153 CENTR,RE STREET,,SUFFOLK,(617) 983-7000,Acute Care Hospitals,Voluntary non-profit - Private,69433
100108,United States of America,2135,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,MA,BRIGHTON,30 WARREN , STREET,,SUFFOLK,(617) 254-3800,Childrens,Voluntary non-profit - Private,84466
100109,United States of America,2135,ST ELIZABETH'S MEDICAL CENTER,MA,BRIGHTON,736 CAMBRI,IDGE STREET,T,SUFFOLK,(617) 789-3000,Acute Care Hospitals,Proprietary,65342
100110,United States of America,2138,CAMBRIDGE HEALTH ALLIANCE,MA,CAMBRIDGE,1493 CAMBR,RIDGE STREET,ET,MIDDLESEX,(617) 665-2300,Acute Care Hospitals,Government - Local,86818
100111,United States of America,2138,MOUNT AUBURN HOSPITAL,MA,CAMBRIDGE,330 MOUNT , AUBURN STREET,REET,MIDDLESEX,(617) 492-3500,Acute Care Hospitals,Voluntary non-profit - Private,64735
100112,United States of America,2176,MELROSEWAKEFIELD HEALTHCARE,MA,MELROSE,585 LEBANO,ON STREET,,MIDDLESEX,(781) 979-3000,Acute Care Hospitals,Voluntary non-profit - Private,89242
100113,United States of America,2186,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,MA,MILTON,199 REEDSD,DALE ROAD,,NORFOLK,(617) 696-4600,Acute Care Hospitals,Government - Federal,76511
100114,United States of America,2190,SOUTH SHORE HOSPITAL,MA,SOUTH WEYMOUTH,55 FOGG RO,OAD,,NORFOLK,(781) 340-8000,Acute Care Hospitals,Voluntary non-profit - Private,29535
100115,United States of America,2215,BETH ISRAEL DEACONESS MEDICAL CENTER,MA,BOSTON,330 BROOKL,LINE AVENUE,E,SUFFOLK,(617) 667-7000,Acute Care Hospitals,Voluntary non-profit - Private,85201
100116,United States of America,2301,GOOD SAMARITAN MEDICAL CENTER,MA,BROCKTON,235 NORTH , PEARL STREET,EET,PLYMOUTH,(508) 427-3000,Acute Care Hospitals,Proprietary,31499
100117,United States of America,2302,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,BROCKTON,680 CENTER,R STREET,,PLYMOUTH,(508) 941-7000,Acute Care Hospitals,Voluntary non-profit - Other,73626
100118,United States of America,2346,HIGH POINT TREATMENT CENTER,MA,MIDDLEBORO,52 OAK STR,REET,,PLYMOUTH,(774) 628-1011,Psychiatric,Voluntary non-profit - Private,57016
100119,United States of America,2360,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,MA,PLYMOUTH,275 SANDWI,ICH STREET,,PLYMOUTH,(508) 746-2000,Acute Care Hospitals,Voluntary non-profit - Private,10043
100120,United States of America,2446,ARBOUR HUMAN RESOURCE INSTITUTE,MA,BROOKLINE,227 BABCOC,CK STREET,,NORFOLK,(617) 731-3200,Psychiatric,Proprietary,87679
100121,United States of America,2453,"WALDEN BEHAVIORAL CARE, LLC",MA,WALTHAM,9 HOPE AVE,ENUE,,MIDDLESEX,(781) 647-6727,Psychiatric,Government - Federal,73979
100122,United States of America,2462,NEWTON-WELLESLEY HOSPITAL,MA,NEWTON,2014 WASHI,INGTON STREET,EET,MIDDLESEX,(617) 243-6000,Acute Care Hospitals,Voluntary non-profit - Other,62063
100123,United States of America,2467,BOURNEWOOD HOSPITAL,MA,BOSTON COLLEGE,300 SOUTH , STREET,,MIDDLESEX,(617) 469-0300,Psychiatric,Proprietary,36424
100124,United States of America,2478,MCLEAN HOSPITAL CORPORATION,MA,BELMONT,115 MILL S,STREET,,MIDDLESEX,(617) 855-3450,Psychiatric,Voluntary non-profit - Private,28812
100125,United States of America,2494,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,MA,NEEDHAM,148 CHESTN,NUT STREET,,NORFOLK,(781) 453-3002,Acute Care Hospitals,Voluntary non-profit - Private,92259
100126,United States of America,2540,FALMOUTH HOSPITAL,MA,FALMOUTH,67 & 100 T,TER HEUN DRIVE,RIVE,BARNSTABLE,(508) 548-5300,Acute Care Hospitals,Voluntary non-profit - Private,11130
100127,United States of America,2554,NANTUCKET COTTAGE HOSPITAL,MA,NANTUCKET,57 PROSPEC,CT STREET,,NANTUCKET,(508) 228-1200,Acute Care Hospitals,Voluntary non-profit - Private,30235
100128,United States of America,2557,MARTHA'S VINEYARD HOSPITAL INC,MA,OAK BLUFFS,ONE HOSPIT,"TAL ROAD, FIRST FL, ","FIRST FL, WING 5,  PO BOX 1477",DUKES,(508) 693-0410,Critical Access Hospitals,Voluntary non-profit - Private,92453
100129,United States of America,2559,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,MA,POCASSET,830 COUNTY,Y ROAD,,BARNSTABLE,(508) 563-2276,Psychiatric,Government - State,42342
