SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM,CONCAT_ADDRESS
102424,USA,82414,cody regional health,wy,cody,PARK,(307) 578-2488,Critical Access Hospitals,Government - Hospital District or Authority,52468,707 sheridan avenue
102425,USA,82435,powell valley hospital,wy,powell,PARK,(307) 754-2267,Critical Access Hospitals,Government - Hospital District or Authority,45576,777 avenueh
102426,USA,82443,hot springs county memorial hospital,wy,thermopolis,HOT SPRINGS,(307) 864-3121,Critical Access Hospitals,Government - Local,58201,150 east arapahoe
102427,USA,82501,sagewest health care,wy,riverton,FREMONT,(307) 856-4161,Acute Care Hospitals,Proprietary,29528,2100 w sunset dr
102428,USA,82609,summit medical center,wy,casper,NATRONA,(307) 232-6600,Acute Care Hospitals,Physician,24198,6350 e 2ndstreet
102429,USA,82609,wyoming behavioral institute,wy,casper,NATRONA,(307) 237-7444,Psychiatric,Proprietary,74211,2521 east15th street
102430,USA,82701,weston county health services,wy,newcastle,WESTON,(307) 746-4491,Critical Access Hospitals,Government - Hospital District or Authority,50462,1124 washington boulevard
102431,USA,82729,crook county hospital,wy,sundance,CROOK,(307) 283-3501,Critical Access Hospitals,Government - Hospital District or Authority,33637,713 oak street
102432,USA,82901,aspen mountain medical center,wy,rock springs,SWEETWATER,(307) 448-2758,Acute Care Hospitals,Proprietary,86439,4401 college drive
102434,USA,82931,wyoming state hospital,wy,evanston,UINTA,(307) 789-3464,Psychiatric,Government - State,67218,831 hwy 150 south
102435,USA,83001,st johns medical center,wy,jackson,TETON,(307) 733-3636,Acute Care Hospitals,Government - Hospital District or Authority,59667,625 east broadway
102436,USA,83110,star valley medical center,wy,afton,LINCOLN,(307) 885-5800,Critical Access Hospitals,Government - Hospital District or Authority,93939,901 adamsstreet
102437,USA,83201,portneuf medical center,id,pocatello,BANNOCK,(208) 239-1000,Acute Care Hospitals,Proprietary,81914,777 hospital way
102438,USA,83213,lost rivers medical center,id,arco,BUTTE,(208) 252-7654,Critical Access Hospitals,Government - Hospital District or Authority,38158,551 highland drive
102439,USA,83221,bingham memorial hospital,id,blackfoot,BINGHAM,(208) 785-3804,Critical Access Hospitals,Voluntary non-profit - Private,45390,98 poplarstreet
102440,USA,83221,grove creek medical center,id,blackfoot,BINGHAM,(208) 782-2900,Acute Care Hospitals,Voluntary non-profit - Private,14317,350 northmeridian street
102441,USA,83254,bear lake memorial hospital,id,montpelier,BEAR LAKE,(208) 847-1630,Critical Access Hospitals,Government - Local,18026,164 southfifth street
102442,USA,83330,north canyon medical center,id,gooding,GOODING,(208) 934-4433,Critical Access Hospitals,Voluntary non-profit - Private,54257,267 northcanyon dr
102443,USA,83338,st lukes jerome,id,jerome,JEROME,(208) 814-9500,Critical Access Hospitals,Voluntary non-profit - Private,72450,709 northlincoln avenue
102444,USA,83340,st lukes wood river medical center,id,ketchum,BLAINE,(208) 727-8800,Critical Access Hospitals,Voluntary non-profit - Private,62385,100 hospital drive
102445,USA,83467,steele memorial medical center,id,salmon,LEMHI,(208) 756-5600,Critical Access Hospitals,Government - Local,18577,203 southdaisy street
102446,USA,83501,st joseph regional medical center,id,lewiston,NEZ PERCE,(208) 799-5300,Acute Care Hospitals,Voluntary non-profit - Private,12353,415 sixthstreet
102447,USA,83530,syringa general hospital,id,grangeville,IDAHO,(208) 983-1700,Critical Access Hospitals,Government - Hospital District or Authority,92579,607 w mainstreet
102448,USA,83544,clearwater valley hospital  clinics,id,orofino,CLEARWATER,(208) 476-4555,Critical Access Hospitals,Voluntary non-profit - Private,60606,301 cedarstreet
102449,USA,83605,west valley medical center,id,caldwell,CANYON,(208) 459-4641,Acute Care Hospitals,Proprietary,76708,1717 arlington street
102450,USA,83617,valor health,id,emmett,GEM,(208) 365-3561,Critical Access Hospitals,Government - Local,89990,1202 eastlocust street
102451,USA,83638,st lukes mccall,id,burgdorf,VALLEY,(208) 630-2395,Critical Access Hospitals,Voluntary non-profit - Private,44518,1000 statestreet
102452,USA,83647,st lukes elmore medical center,id,mountain home,ELMORE,(208) 587-8401,Critical Access Hospitals,Voluntary non-profit - Private,48023,895 north6th east
102453,USA,83672,weiser memorial hospital,id,weiser,WASHINGTON,(208) 549-0370,Critical Access Hospitals,Government - Hospital District or Authority,51123,645 east 5th street
102454,USA,83687,saint alphonsus medical center  nampa,id,nampa,CANYON,(208) 205-0050,Acute Care Hospitals,Voluntary non-profit - Church,10676,4300 e flamingo ave
102455,USA,83687,st lukes nampa medical center,id,nampa,CANYON,(208) 505-2000,Acute Care Hospitals,Voluntary non-profit - Private,36325,9850 w stlukes drive ste 250
102456,USA,83704,intermountain hospital,id,boise,ADA,(208) 377-8400,Psychiatric,Proprietary,85487,303 northallumbaughstreet
102457,USA,83704,treasure valley hospital,id,boise,ADA,(208) 373-5000,Acute Care Hospitals,Proprietary,63165,8800 westemerald street
102458,USA,83805,boundary community hospital,id,bonners ferry,BOUNDARY,(208) 267-4850,Critical Access Hospitals,Voluntary non-profit - Other,82887,6640 kaniksu street
102459,USA,83814,kootenai health,id,coeur dalene,KOOTENAI,(208) 625-4000,Acute Care Hospitals,Government - Hospital District or Authority,13375,2003 kootenai healthway
102460,USA,83864,bonner general hospital,id,sandpoint,BONNER,(208) 263-1441,Critical Access Hospitals,Voluntary non-profit - Private,76986,520 norththird avenue
102461,USA,84003,american fork hospital,ut,american fork,UTAH,(801) 855-3305,Acute Care Hospitals,Voluntary non-profit - Private,39995,170 north1100 east
102462,USA,84010,lakeview hospital,ut,bountiful,DAVIS,(801) 299-2200,Acute Care Hospitals,Voluntary non-profit - Other,30700,630 east medical drive
102463,USA,84041,davis hospital and medical center,ut,layton,DAVIS,(801) 807-7001,Acute Care Hospitals,Proprietary,91463,1600 westantelope drive
102464,USA,84047,highland ridge hospital,ut,midvale,SALT LAKE,(801) 845-9544,Psychiatric,Proprietary,62814,7309 south180 west
102465,USA,84057,timpanogos regional hospital,ut,orem,UTAH,(801) 714-6800,Acute Care Hospitals,Proprietary,76830,750 west 800 north
102466,USA,84065,riverton hospital,ut,riverton,SALT LAKE,(801) 285-4000,Acute Care Hospitals,Voluntary non-profit - Private,26563,3741 west12600 south
102468,USA,84074,mountain west medical center,ut,tooele,TOOELE,(435) 843-3700,Acute Care Hospitals,Proprietary,61695,2055 northmain street
102469,USA,84094,alta view hospital,ut,sandy,SALT LAKE,(801) 501-2600,Acute Care Hospitals,Voluntary non-profit - Private,84543,9660 south1300 east
102470,USA,84102,salt lake regional medical center,ut,salt lake city,SALT LAKE,(801) 350-4111,Acute Care Hospitals,Proprietary,58775,1050 eastsouth temple
102471,USA,84106,salt lake behavioral health,ut,salt lake city,SALT LAKE,(801) 264-6035,Psychiatric,Proprietary,89930,3802 south700 east
102472,USA,84115,marian center,ut,salt lake city,SALT LAKE,(801) 468-6856,Psychiatric,Proprietary,35995,451 east bishop federal lane
102473,USA,84143,lds hospital,ut,salt lake city,SALT LAKE,(801) 408-1100,Acute Care Hospitals,Voluntary non-profit - Private,18269,8th avenueand c street
102474,USA,84341,cache valley hospital,ut,north logan,CACHE,(435) 713-9580,Acute Care Hospitals,Proprietary,93098,2380 north400 east
102475,USA,84501,castleview hospital,ut,price,CARBON,(435) 637-4800,Acute Care Hospitals,Proprietary,82452,300 northhospital drive
102477,USA,84532,moab regional hospital,ut,moab,GRAND,(435) 719-3500,Critical Access Hospitals,Voluntary non-profit - Private,49366,450 west williams way
102478,USA,84604,utah valley hospital,ut,provo,UTAH,(801) 373-7850,Acute Care Hospitals,Voluntary non-profit - Private,78656,1034 north500 west
102479,USA,84605,utah state hospital,ut,provo,UTAH,(801) 344-4400,Psychiatric,Government - State,75658,1300 eastcenter street
102480,USA,84624,delta community hospital,ut,delta,MILLARD,(435) 864-5591,Critical Access Hospitals,Proprietary,46697,126 southwhite sageavenue
102481,USA,84631,fillmore community hospital,ut,fillmore,MILLARD,(435) 743-5591,Critical Access Hospitals,Voluntary non-profit - Private,93447,674 southhighway 99
102482,USA,84648,central valley medical center  cah,ut,nephi,JUAB,(435) 623-3000,Critical Access Hospitals,Voluntary non-profit - Private,84161,48 west 1500 north
102483,USA,84651,mountain view hospital,ut,payson,UTAH,(801) 465-7100,Acute Care Hospitals,Proprietary,29086,1000 east100 north
102488,USA,85006,st lukes medical center,az,phoenix,MARICOPA,(602) 251-8156,Acute Care Hospitals,Proprietary,52690,1800 eastvan burenstreet
102491,USA,85008,valleywise health medical center,az,phoenix,MARICOPA,(602) 344-5011,Acute Care Hospitals,Government - Local,71447,2601 eastrooseveltstreet
102492,USA,85013,st josephs hospital and medical center,az,phoenix,MARICOPA,(602) 406-5001,Acute Care Hospitals,Voluntary non-profit - Church,66785,350 west thomas road
102493,USA,85015,core institute specialty hospital the,az,phoenix,MARICOPA,(602) 795-6020,Acute Care Hospitals,Physician,78622,6501 north19th avenue
102494,USA,85032,abrazo scottsdale campus,az,phoenix,MARICOPA,(602) 923-5000,Acute Care Hospitals,Proprietary,70883,3929 eastbell road
102495,USA,85120,banner goldfield medical center,az,apache junction,PINAL,(480) 733-3300,Acute Care Hospitals,Voluntary non-profit - Other,70902,2050 westsouthern avenue
102496,USA,85202,banner desert medical center,az,mesa,MARICOPA,(480) 412-3000,Acute Care Hospitals,Voluntary non-profit - Private,42068,1400 southdobson road
102497,USA,85206,arizona spine and joint hospital,az,mesa,MARICOPA,(480) 832-4770,Acute Care Hospitals,Physician,63645,4620 eastbaseline road
102498,USA,85206,banner baywood medical center,az,mesa,MARICOPA,(480) 321-2000,Acute Care Hospitals,Voluntary non-profit - Private,53299,6644 eastbaywood avenue
102499,USA,85209,mountain vista medical center lp,az,mesa,MARICOPA,(480) 358-6100,Acute Care Hospitals,Proprietary,39392,1301 southcrismon road
102500,USA,85225,oasis behavioral health hospital,az,chandler,MARICOPA,(480) 917-9301,Psychiatric,Proprietary,38122,2190 northgrace boulevard
102501,USA,85251,banner behavioral health hospital,az,scottsdale,MARICOPA,(480) 448-7500,Psychiatric,Voluntary non-profit - Private,89180,7575 eastearll drive
102502,USA,85251,scottsdale osborn medical center,az,scottsdale,MARICOPA,(480) 882-4004,Acute Care Hospitals,Proprietary,26270,7400 eastosborn road
102503,USA,85255,scottsdale thompson peak medical center,az,scottsdale,MARICOPA,(480) 324-7001,Acute Care Hospitals,Proprietary,49855,7400 eastthompson peak parkway
102504,USA,85283,aurora behavioral healthcaretempe,az,tempe,MARICOPA,(480) 345-5400,Psychiatric,Voluntary non-profit - Private,66265,6350 southmaple avenue
102505,USA,85297,mercy gilbert medical center,az,gilbert,MARICOPA,(480) 728-8000,Acute Care Hospitals,Voluntary non-profit - Church,57752,3555 southval vistadrive
102506,USA,85306,banner thunderbird medical center,az,glendale,MARICOPA,(602) 865-4470,Acute Care Hospitals,Government - Hospital District or Authority,70905,5555 westthunderbird road
102507,USA,85308,abrazo arrowhead campus,az,glendale,MARICOPA,(623) 561-1000,Acute Care Hospitals,Proprietary,20678,18701 north 67th avenue
102508,USA,85339,dignity health  arizona general hospital,az,laveen,MARICOPA,(623) 584-5100,Acute Care Hospitals,Proprietary,48892,7171 south51st avenue
102509,USA,85344,la paz regional hospital,az,parker,LAPAZ,(928) 669-9201,Critical Access Hospitals,Voluntary non-profit - Private,59050,1200 westmohave road
102510,USA,85344,parker indian health center,az,parker,LAPAZ,(928) 669-2137,Critical Access Hospitals,Government - Federal,17284,12033 agency road
102511,USA,85351,banner boswell medical center,az,sun city,MARICOPA,(623) 832-4000,Acute Care Hospitals,Voluntary non-profit - Other,25994,10401 westthunderbird boulevard
102512,USA,85364,yuma regional medical center,az,yuma,YUMA,(928) 336-7600,Acute Care Hospitals,Voluntary non-profit - Private,46179,2400 southavenue a
102513,USA,85390,wickenburg community hospital,az,wickenburg,MARICOPA,(928) 684-5421,Critical Access Hospitals,Voluntary non-profit - Private,35468,520 rose lane
102514,USA,85395,abrazo west campus,az,goodyear,MARICOPA,(623) 882-1970,Acute Care Hospitals,Proprietary,73673,13677 westmcdowellroad
102515,USA,85602,benson hospital,az,benson,COCHISE,(520) 586-2261,Critical Access Hospitals,Voluntary non-profit - Private,27990,450 southocotillo avenue
102516,USA,85603,copper queen community hospital,az,bisbee,COCHISE,(520) 432-6401,Critical Access Hospitals,Voluntary non-profit - Private,74922,101 cole avenue
102517,USA,85634,sells hospital,az,sells,PIMA,(520) 362-7003,Acute Care Hospitals,Tribal,14864,highway 86 at topawa road
102518,USA,85704,sonora behavioral health hospital,az,tucson,PIMA,(520) 469-8700,Psychiatric,Proprietary,60779,6050 northcorona road
102519,USA,85712,cornerstone behavioral health el dorado,az,tucson,PIMA,(520) 222-8268,Psychiatric,Proprietary,77788,1400 northwilmot road
102520,USA,85712,tucson medical center,az,tucson,PIMA,(520) 327-5461,Acute Care Hospitals,Voluntary non-profit - Private,12536,5301 eastgrant road
102521,USA,85755,oro valley hospital,az,oro valley,PIMA,(520) 901-3549,Acute Care Hospitals,Proprietary,59585,1551 easttangerineroad
102522,USA,85901,summit healthcare regional medical center,az,show low,NAVAJO,(928) 537-6399,Acute Care Hospitals,Voluntary non-profit - Private,22860,2200 eastshow low lake road
102523,USA,85938,white mountain regional medical center,az,springerville,APACHE,(928) 333-4368,Critical Access Hospitals,Voluntary non-profit - Private,33622,118 southmountain avenue
102524,USA,85941,whiteriver phs indian hospital,az,whiteriver,NAVAJO,(928) 338-4911,Acute Care Hospitals,Government - Federal,72125,200 west hospital drive po box 860
102525,USA,86001,flagstaff medical center,az,flagstaff,COCONINO,(928) 779-3366,Acute Care Hospitals,Voluntary non-profit - Private,72982,1200 northbeaver street
102526,USA,86004,guidance center the,az,flagstaff,COCONINO,(928) 527-1899,Psychiatric,Voluntary non-profit - Private,16187,2187 northvickey street
102527,USA,86042,hopi health care center,az,polacca,NAVAJO,(928) 737-6000,Critical Access Hospitals,Tribal,11638,highway 264 milepost 388
102528,USA,86045,tuba city regional health care corporation,az,tuba city,COCONINO,(928) 283-2501,Acute Care Hospitals,Voluntary non-profit - Other,90850,po box 600
102529,USA,86047,little colorado medical center,az,winslow,NAVAJO,(928) 289-4691,Critical Access Hospitals,Voluntary non-profit - Private,84215,1501 northwilliamson avenue
102530,USA,86301,yavapai regional medical center,az,prescott,YAVAPAI,(928) 445-2700,Acute Care Hospitals,Voluntary non-profit - Private,18717,1003 willow creek road
102531,USA,86326,verde valley medical center,az,cottonwood,YAVAPAI,(928) 773-2357,Acute Care Hospitals,Voluntary non-profit - Private,55165,269 southcandy lane
102532,USA,86442,western arizona regional medical center,az,bullhead city,MOHAVE,(928) 763-2273,Acute Care Hospitals,Proprietary,57273,2735 silver creek road
102533,USA,86503,chinle comprehensive health care facility,az,chinle,APACHE,(928) 674-7001,Acute Care Hospitals,Government - Federal,67801,us hwy 191 hospitalroad
102535,USA,86505,sage memorial hospital,az,ganado,APACHE,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,71730,state route 264 south 191
102536,USA,87049,dhhs usphs indian health services,nm,san fidel,CIBOLA,(505) 552-5300,Acute Care Hospitals,Government - Federal,51917,exit 102off i40 12 mile south
102537,USA,87106,presbyterian hospital,nm,albuquerque,BERNALILLO,(505) 724-8386,Acute Care Hospitals,Voluntary non-profit - Private,85771,1100 central avenuese
102538,USA,87108,haven behavioral hospital of albuquerque,nm,albuquerque,BERNALILLO,(505) 254-4500,Psychiatric,Proprietary,94260,5400 gibson boulevard se 4thfloor box 8
102539,USA,87109,lovelace womens hospital,nm,albuquerque,BERNALILLO,(505) 727-7805,Acute Care Hospitals,Government - State,59568,4701 montgomery boulevard ne
102540,USA,87114,lovelace westside hospital,nm,albuquerque,BERNALILLO,(505) 727-2001,Acute Care Hospitals,Proprietary,82639,10501 golfcourse road nw
102541,USA,87144,unm sandoval regional medical center,nm,rio rancho,SANDOVAL,(505) 994-7402,Acute Care Hospitals,Voluntary non-profit - Private,90183,3001 broadmoor blvdne
102542,USA,87301,gallup indian medical center,nm,gallup,MCKINLEY,(505) 722-1000,Acute Care Hospitals,Government - Federal,35082,516 e nizhoni blvd
102543,USA,87301,rehoboth mckinley christian health care services,nm,gallup,MCKINLEY,(505) 863-7000,Acute Care Hospitals,Voluntary non-profit - Private,48380,1901 red rock drive
102544,USA,87313,crownpoint healthcare facility,nm,crownpoint,MCKINLEY,(505) 786-5291,Acute Care Hospitals,Government - Federal,45247,junction of hwy 371
102545,USA,87327,zuni comprehensive community health center,nm,zuni,MCKINLEY,(505) 782-4431,Acute Care Hospitals,Government - Federal,15217,route 301north b street
102546,USA,87420,northern navajo medical center,nm,shiprock,SAN JUAN,(505) 368-6001,Acute Care Hospitals,Government - Federal,70043,us hwy 491north
102547,USA,87501,santa fe phs indian hospital,nm,santa fe,SANTA FE,(505) 988-9821,Acute Care Hospitals,Government - Federal,20493,1700 cerrillos road
102548,USA,87507,presbyterian santa fe medical center,nm,santa fe,SANTA FE,(505) 923-8826,Acute Care Hospitals,Voluntary non-profit - Private,39015,4801 beckner road
102549,USA,87571,holy cross hospital a div of taos health systems,nm,taos,TAOS,(575) 758-8883,Critical Access Hospitals,Voluntary non-profit - Private,65396,1397 weimer road
102550,USA,87701,alta vista regional hospital,nm,las vegas,SAN MIGUEL,(505) 426-3930,Acute Care Hospitals,Government - Hospital District or Authority,49648,104 legiondrive
102551,USA,88008,peak behavioral health services llc,nm,santa teresa,DONA ANA,(575) 589-3000,Psychiatric,Proprietary,53505,5065 mcnutt road bldgs b c d
102552,USA,88031,mimbres memorial hospital,nm,deming,LUNA,(575) 546-5803,Critical Access Hospitals,Proprietary,34968,900 w ash
102553,USA,88061,gila regional medical center,nm,silver city,GRANT,(575) 538-4100,Acute Care Hospitals,Government - Hospital District or Authority,73262,1313 e 32nd st
102554,USA,88201,eastern new mexico medical center,nm,roswell,CHAVES,(575) 624-8722,Acute Care Hospitals,Proprietary,40095,405 w country club road
102555,USA,88220,carlsbad medical center,nm,carlsbad,EDDY,(575) 887-4570,Acute Care Hospitals,Proprietary,79575,2430 westpierce street
102556,USA,88310,gerald champion regional medical center,nm,alamogordo,OTERO,(575) 443-6100,Acute Care Hospitals,Voluntary non-profit - Private,13619,2669 northscenic drive
102557,USA,88345,lincoln county medical center,nm,ruidoso,LINCOLN,(575) 257-8200,Critical Access Hospitals,Voluntary non-profit - Private,43345,211 sudderth drive
102558,USA,88401,dr dan c trigg memorial hospital,nm,tucumcari,QUAY,(575) 461-7007,Critical Access Hospitals,Voluntary non-profit - Private,93920,301 east miel de luna avenue
102559,USA,88415,union county general hospital,nm,clayton,UNION,(575) 374-7001,Critical Access Hospitals,Voluntary non-profit - Other,24708,300 wilsonstreet
102560,USA,89005,boulder city hospital,nv,boulder city,CLARK,(702) 293-4111,Critical Access Hospitals,Voluntary non-profit - Private,31084,901 adamsblvd
102561,USA,89008,grover c dils medical center,nv,caliente,LINCOLN,(775) 726-3171,Critical Access Hospitals,Government - Hospital District or Authority,45570,700 n spring st box1010cadm bldg
102562,USA,89011,henderson hospital,nv,henderson,CLARK,(318) 290-4395,Acute Care Hospitals,Proprietary,30782,1050 westgalleria drive
102563,USA,89015,saint rose dominican hospitals  rose de lima,nv,henderson,CLARK,(702) 616-5000,Acute Care Hospitals,Voluntary non-profit - Church,78119,102 e lakemead dr
102564,USA,89031,dignity health st rose dominican n l v campus,nv,north las vegas,CLARK,(702) 777-3615,Acute Care Hospitals,Proprietary,63254,1550 w craig ranch
102565,USA,89052,seven hills behavioral institute,nv,henderson,CLARK,(702) 646-5000,Psychiatric,Proprietary,80984,3021 w horizon ridgepkwy
102566,USA,89102,university medical center,nv,las vegas,CLARK,(702) 383-2000,Acute Care Hospitals,Government - Local,54940,1800 w charleston blvd
102567,USA,89109,desert parkway behavioral healthcare hospital llc,nv,las vegas,CLARK,(248) 905-5096,Psychiatric,Proprietary,85041,3247 s maryland parkway
102568,USA,89117,spring mountain treatment center,nv,las vegas,CLARK,(702) 873-2400,Psychiatric,Proprietary,50721,7000 westspring mountain road
102569,USA,89118,spring valley hospital medical center,nv,las vegas,CLARK,(702) 853-3000,Acute Care Hospitals,Proprietary,71903,5400 southrainbow blvd
102570,USA,89119,desert springs hospital,nv,las vegas,CLARK,(702) 369-7600,Acute Care Hospitals,Proprietary,62560,2075 eastflamingo road
102571,USA,89128,mountainview hospital,nv,las vegas,CLARK,(702) 255-5065,Acute Care Hospitals,Proprietary,51268,3100 n tenaya way
102573,USA,89148,orthopedic specialty hospital of nevada,nv,las vegas,CLARK,(702) 777-7100,Acute Care Hospitals,Voluntary non-profit - Private,49290,8656 westpatrick lane
102574,USA,89148,southern hills hospital and medical center,nv,las vegas,CLARK,(702) 880-2100,Acute Care Hospitals,Voluntary non-profit - Private,79274,9300 westsunset rd
102575,USA,89191,99th medical group nellis afb,nv,nellis afb,CLARK,(702) 653-2273,Acute Care - Department of Defense,Department of Defense,14039,99 mdg 4700 las vegas blvd
102576,USA,89301,william bee ririe hospital,nv,ely,WHITE PINE,(775) 289-3001,Critical Access Hospitals,Government - Hospital District or Authority,32782,1500 avenue h
102577,USA,89406,banner churchill community hospital,nv,fallon,CHURCHILL,(775) 423-3151,Critical Access Hospitals,Voluntary non-profit - Private,81697,801 east williams avenue
102578,USA,89410,carson valley medical center,nv,gardnerville,DOUGLAS,(775) 782-1500,Critical Access Hospitals,Voluntary non-profit - Private,47196,1107 highway 395
102579,USA,89434,northern nevada medical center,nv,sparks,WASHOE,(775) 331-7000,Acute Care Hospitals,Proprietary,28135,2375 e prater way
102580,USA,89445,humboldt general hospital,nv,winnemucca,HUMBOLDT,(775) 623-5222,Critical Access Hospitals,Government - Hospital District or Authority,59710,118 east haskell street
102581,USA,89451,incline village health center,nv,incline village,WASHOE,(775) 833-4100,Critical Access Hospitals,Government - Hospital District or Authority,27741,880 alderstreet
102582,USA,89502,renown regional medical center,nv,reno,WASHOE,(775) 982-4100,Acute Care Hospitals,Voluntary non-profit - Private,80725,1155 millstreet
102583,USA,89512,bhc west hills hospital,nv,reno,WASHOE,(775) 323-0478,Psychiatric,Proprietary,66545,1240 e ninth st
102584,USA,89521,renown south meadows medical center,nv,reno,WASHOE,(775) 982-7063,Acute Care Hospitals,Voluntary non-profit - Private,43725,10101 double r blvd
102585,USA,89703,carson tahoe regional medical center,nv,carson city,CARSON CITY,(775) 445-8000,Acute Care Hospitals,Voluntary non-profit - Private,16313,1600 medical parkway
102586,USA,90015,california hospital medical center la,ca,los angeles,LOS ANGELES,(213) 748-2411,Acute Care Hospitals,Voluntary non-profit - Other,83691,1401 southgrand avenue
102587,USA,90020,shriners hospitals for children,ca,los angeles,LOS ANGELES,(213) 388-3151,Childrens,Voluntary non-profit - Private,62314,3160 geneva street
102588,USA,90023,east los angeles doctors hospital,ca,los angeles,LOS ANGELES,(323) 268-5514,Acute Care Hospitals,Proprietary,59727,4060 whittier blvd
102589,USA,90023,los angeles community hospital,ca,los angeles,LOS ANGELES,(323) 267-0477,Acute Care Hospitals,Proprietary,24510,4081 e olympic blvd
102590,USA,90026,l a downtown medical center,ca,los angeles,LOS ANGELES,(213) 989-6123,Acute Care Hospitals,Proprietary,56630,1711 westtemple street
102591,USA,90033,white memorial medical center,ca,los angeles,LOS ANGELES,(323) 268-5000,Acute Care Hospitals,Voluntary non-profit - Church,89400,1720 e cesar avenue
102592,USA,90034,kaiser foundation hospital  west la,ca,los angeles,LOS ANGELES,(213) 857-2201,Acute Care Hospitals,Voluntary non-profit - Private,93170,6041 cadillac ave
102593,USA,90036,olympia medical center,ca,los angeles,LOS ANGELES,(310) 657-5900,Acute Care Hospitals,Proprietary,91996,5900 westolympic boulevard
102594,USA,90048,cedarssinai medical center,ca,los angeles,LOS ANGELES,(310) 423-5000,Acute Care Hospitals,Voluntary non-profit - Other,35611,8700 beverly blvd
